epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,11,,,,,,0.6320000290870667,5.556066513061523
0,11,,,0.5239999890327454,,1090.8028564453125,,
1,23,,,,,,0.7319999933242798,2.0801942348480225
1,23,,,0.7160000205039978,,2.9109561443328857,,
2,35,,,,,,0.8119999766349792,0.8959460854530334
2,35,,,0.7426666617393494,,2.1286816596984863,,
3,47,,,,,,0.7360000014305115,1.0328799486160278
3,47,,,0.7013333439826965,,2.340482711791992,,
4,49,,,,0.8125,,,
4,59,,,,,,0.8080000281333923,0.793688952922821
4,59,,,0.7746666669845581,,1.0109463930130005,,
5,71,,,,,,0.8199999928474426,0.6815169453620911
5,71,,,0.8066666722297668,,0.753889799118042,,
6,83,,,,,,0.8799999952316284,0.40473654866218567
6,83,,,0.8146666884422302,,0.6635672450065613,,
7,95,,,,,,0.8880000114440918,0.365079402923584
7,95,,,0.8386666774749756,,0.46883121132850647,,
8,99,,,,0.890625,,,
8,107,,,,,,0.8799999952316284,0.3527059257030487
8,107,,,0.8546666502952576,,0.40157994627952576,,
9,119,,,,,,0.8799999952316284,0.3444482982158661
9,119,,,0.8813333511352539,,0.34632787108421326,,
10,131,,,,,,0.9039999842643738,0.3041404187679291
10,131,,,0.8759999871253967,,0.32720744609832764,,
11,143,,,,,,0.8880000114440918,0.29513102769851685
11,143,,,0.8773333430290222,,0.2875881493091583,,
12,149,,,,0.953125,,,
12,155,,,,,,0.8240000009536743,0.40229344367980957
12,155,,,0.9053333401679993,,0.24333341419696808,,
13,167,,,,,,0.9160000085830688,0.2628946900367737
13,167,,,0.8960000276565552,,0.25495097041130066,,
14,179,,,,,,0.9200000166893005,0.24685530364513397
14,179,,,0.9133333563804626,,0.20797279477119446,,
15,191,,,,,,0.9279999732971191,0.24228079617023468
15,191,,,0.9133333563804626,,0.2131982445716858,,
16,199,,,,0.921875,,,
16,203,,,,,,0.9120000004768372,0.23851287364959717
16,203,,,0.9253333210945129,,0.19570893049240112,,
17,215,,,,,,0.7639999985694885,0.4928168058395386
17,215,,,0.8813333511352539,,0.3160073161125183,,
18,227,,,,,,0.9279999732971191,0.2413424700498581
18,227,,,0.9173333048820496,,0.197093203663826,,
19,239,,,,,,0.8999999761581421,0.27411410212516785
19,239,,,0.9306666851043701,,0.16859029233455658,,
20,249,,,,0.890625,,,
20,251,,,,,,0.9279999732971191,0.21252840757369995
20,251,,,0.9399999976158142,,0.14683842658996582,,
21,263,,,,,,0.9359999895095825,0.19989696145057678
21,263,,,0.9346666932106018,,0.18486015498638153,,
22,275,,,,,,0.9079999923706055,0.20891976356506348
22,275,,,0.9480000138282776,,0.14898304641246796,,
23,287,,,,,,0.9120000004768372,0.25138476490974426
23,287,,,0.9599999785423279,,0.10728806257247925,,
24,299,,,,0.8478260636329651,,,
24,299,,,,,,0.8519999980926514,0.514911413192749
24,299,,,0.8080000281333923,,0.9817498922348022,,
25,311,,,,,,0.8999999761581421,0.2817874550819397
25,311,,,0.9293333292007446,,0.1814098358154297,,
26,323,,,,,,0.9200000166893005,0.2395043820142746
26,323,,,0.9426666498184204,,0.14043059945106506,,
27,335,,,,,,0.9160000085830688,0.2400287687778473
27,335,,,0.9639999866485596,,0.10240986943244934,,
28,347,,,,,,0.9160000085830688,0.24854162335395813
28,347,,,0.9639999866485596,,0.11102880537509918,,
29,349,,,,0.984375,,,
29,359,,,,,,0.9240000247955322,0.22546404600143433
29,359,,,0.9480000138282776,,0.12305501103401184,,
30,360,0.9599999785423279,0.10394683480262756,,,,,
