epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,32.94853210449219,,
0,9,,,,,39.86885452270508,,
0,14,,,,,29.382104873657227,,
0,19,,,,,28.36473274230957,,
0,24,,,,,37.83631896972656,,
0,29,,,,,28.59711456298828,,
0,34,,,,,34.20934295654297,,
0,35,,,,,,2842500608.0,53315.05078125
0,35,,,3027.35546875,40.04462432861328,,,
1,39,,,,,29.958293914794922,,
1,44,,,,,38.197383880615234,,
1,49,,,,,32.821372985839844,,
1,54,,,,,33.271385192871094,,
1,59,,,,,31.7302303314209,,
1,64,,,,,30.928234100341797,,
1,69,,,,,31.35588264465332,,
1,71,,,,,,2568845312.0,50683.734375
1,71,,,1824.677490234375,31.13789939880371,,,
2,74,,,,,39.5937385559082,,
2,79,,,,,37.661048889160156,,
2,84,,,,,34.09941482543945,,
2,89,,,,,32.765037536621094,,
2,94,,,,,31.44337272644043,,
2,99,,,,,29.28243637084961,,
2,104,,,,,28.909652709960938,,
2,107,,,,,,1939249920.0,44036.85546875
2,107,,,1876.130615234375,31.804344177246094,,,
3,109,,,,,27.477750778198242,,
3,114,,,,,25.425716400146484,,
3,119,,,,,34.03520584106445,,
3,124,,,,,35.14942169189453,,
3,129,,,,,25.277633666992188,,
3,134,,,,,30.041698455810547,,
3,139,,,,,38.03212356567383,,
3,143,,,,,,1560835456.0,39507.34765625
3,143,,,1905.108642578125,31.685007095336914,,,
4,144,,,,,30.760513305664062,,
4,149,,,,,29.594505310058594,,
4,154,,,,,29.576438903808594,,
4,159,,,,,30.034875869750977,,
4,164,,,,,25.261465072631836,,
4,169,,,,,33.75558090209961,,
4,174,,,,,32.58306121826172,,
4,179,,,,,44.93077850341797,,
4,179,,,,,,1731195776.0,41607.60546875
4,179,,,1850.268310546875,31.021791458129883,,,
5,184,,,,,33.552467346191406,,
5,189,,,,,28.09573745727539,,
5,194,,,,,32.34387969970703,,
5,199,,,,,34.74044418334961,,
5,204,,,,,35.39332962036133,,
5,209,,,,,29.57402229309082,,
5,214,,,,,31.974302291870117,,
5,215,,,,,,1208522496.0,34763.7578125
5,215,,,1855.259033203125,31.30860137939453,,,
6,219,,,,,34.36517333984375,,
6,224,,,,,34.35018539428711,,
6,229,,,,,31.553024291992188,,
6,234,,,,,34.96565246582031,,
6,239,,,,,36.00245666503906,,
6,244,,,,,29.6588077545166,,
6,249,,,,,31.376392364501953,,
6,251,,,,,,1255541504.0,35433.5390625
6,251,,,1899.685302734375,31.257884979248047,,,
7,254,,,,,30.604625701904297,,
7,259,,,,,28.3975830078125,,
7,264,,,,,25.789417266845703,,
7,269,,,,,32.924564361572266,,
7,274,,,,,30.431224822998047,,
7,279,,,,,25.0018310546875,,
7,284,,,,,29.707767486572266,,
7,287,,,,,,1327101312.0,36429.31640625
7,287,,,1859.706298828125,31.182676315307617,,,
8,289,,,,,27.343143463134766,,
8,294,,,,,31.380123138427734,,
8,299,,,,,31.6132755279541,,
8,304,,,,,34.99102783203125,,
8,309,,,,,37.11582946777344,,
8,314,,,,,38.32991027832031,,
8,319,,,,,31.483924865722656,,
8,323,,,,,,1045811840.0,32338.94140625
8,323,,,1772.0792236328125,30.4743709564209,,,
9,324,,,,,38.577362060546875,,
9,329,,,,,35.9072151184082,,
9,334,,,,,24.152435302734375,,
