epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,42.09209442138672,,
0,9,,,,,40.003780364990234,,
0,14,,,,,29.87668800354004,,
0,19,,,,,31.07953643798828,,
0,24,,,,,32.564056396484375,,
0,29,,,,,40.411434173583984,,
0,34,,,,,32.604820251464844,,
0,35,,,,,,1365.3623046875,26.815505981445312
0,35,,,3004.08544921875,39.660980224609375,,,
1,39,,,,,32.42844009399414,,
1,44,,,,,32.441287994384766,,
1,49,,,,,31.337770462036133,,
1,54,,,,,29.217145919799805,,
1,59,,,,,31.71183967590332,,
1,64,,,,,31.16889762878418,,
1,69,,,,,33.1422119140625,,
1,71,,,,,,1335.6256103515625,25.283353805541992
1,71,,,1897.11328125,31.96046257019043,,,
2,74,,,,,34.39423370361328,,
2,79,,,,,24.116600036621094,,
2,84,,,,,43.22247314453125,,
2,89,,,,,31.798995971679688,,
2,94,,,,,34.127960205078125,,
2,99,,,,,28.353130340576172,,
2,104,,,,,35.626861572265625,,
2,107,,,,,,1407.4141845703125,27.39959144592285
2,107,,,1824.885009765625,30.788694381713867,,,
3,109,,,,,38.0665168762207,,
3,114,,,,,25.359790802001953,,
3,119,,,,,30.261207580566406,,
3,124,,,,,33.348045349121094,,
3,129,,,,,28.653846740722656,,
3,134,,,,,28.12588119506836,,
3,139,,,,,32.857704162597656,,
3,143,,,,,,1243.76904296875,23.76976776123047
3,143,,,1914.8026123046875,31.334728240966797,,,
4,144,,,,,28.26869773864746,,
4,149,,,,,28.089950561523438,,
4,154,,,,,35.75442886352539,,
4,159,,,,,32.7734489440918,,
4,164,,,,,31.51056671142578,,
4,169,,,,,34.014015197753906,,
4,174,,,,,29.573017120361328,,
4,179,,,,,26.571990966796875,,
4,179,,,,,,1280.7218017578125,24.173442840576172
4,179,,,1852.497314453125,31.509323120117188,,,
5,184,,,,,27.25539779663086,,
5,189,,,,,27.75232696533203,,
5,194,,,,,27.563709259033203,,
5,199,,,,,32.28166580200195,,
5,204,,,,,30.779090881347656,,
5,209,,,,,32.39243698120117,,
5,214,,,,,30.339174270629883,,
5,215,,,,,,1268.2813720703125,24.485122680664062
5,215,,,1858.1085205078125,30.878076553344727,,,
6,219,,,,,27.717830657958984,,
6,224,,,,,29.194400787353516,,
6,229,,,,,29.823566436767578,,
6,234,,,,,30.144020080566406,,
6,239,,,,,24.845382690429688,,
6,244,,,,,33.5096321105957,,
6,249,,,,,33.59658432006836,,
6,251,,,,,,1394.5078125,27.175159454345703
6,251,,,1862.9093017578125,31.1038818359375,,,
7,254,,,,,32.40774917602539,,
7,259,,,,,37.82603073120117,,
7,264,,,,,33.76636505126953,,
7,269,,,,,35.907100677490234,,
7,274,,,,,30.937530517578125,,
7,279,,,,,26.87746810913086,,
7,284,,,,,21.850683212280273,,
7,287,,,,,,1222.816162109375,24.14385986328125
7,287,,,1799.95751953125,30.660104751586914,,,
8,289,,,,,30.466806411743164,,
8,294,,,,,34.21084213256836,,
8,299,,,,,29.832969665527344,,
8,304,,,,,31.54557991027832,,
8,309,,,,,30.849702835083008,,
8,314,,,,,25.627277374267578,,
8,319,,,,,37.505435943603516,,
8,323,,,,,,1209.3240966796875,23.67982292175293
8,323,,,1734.6552734375,29.978023529052734,,,
9,324,,,,,28.2283878326416,,
9,329,,,,,28.24213409423828,,
9,334,,,,,28.5970458984375,,
9,339,,,,,27.516002655029297,,
9,344,,,,,29.82489776611328,,
9,349,,,,,28.332263946533203,,
9,354,,,,,32.92955780029297,,
9,359,,,,,20.527034759521484,,
9,359,,,,,,1220.11767578125,23.525245666503906
9,359,,,1785.1727294921875,30.482601165771484,,,
10,364,,,,,26.01943588256836,,
10,369,,,,,28.30675506591797,,
10,374,,,,,29.374399185180664,,
10,379,,,,,29.7379093170166,,
10,384,,,,,27.56702995300293,,
10,389,,,,,25.45999526977539,,
10,394,,,,,32.04143524169922,,
10,395,,,,,,1608.5146484375,30.52321434020996
10,395,,,1809.666259765625,30.632722854614258,,,
11,399,,,,,31.570959091186523,,
11,404,,,,,31.269229888916016,,
11,409,,,,,29.070077896118164,,
11,414,,,,,27.495380401611328,,
11,419,,,,,33.13193130493164,,
11,424,,,,,32.83964538574219,,
11,429,,,,,26.467187881469727,,
11,431,,,,,,1223.3367919921875,23.52412986755371
11,431,,,1780.2713623046875,30.73017692565918,,,
12,434,,,,,29.38128089904785,,
12,439,,,,,31.337589263916016,,
12,444,,,,,28.17152976989746,,
12,449,,,,,30.367958068847656,,
12,454,,,,,35.57196044921875,,
12,459,,,,,31.037452697753906,,
12,464,,,,,33.8707160949707,,
12,467,,,,,,1423.115966796875,28.095848083496094
12,467,,,1791.620849609375,30.57280158996582,,,
13,469,,,,,30.179718017578125,,
13,474,,,,,30.472015380859375,,
13,479,,,,,32.26923370361328,,
13,484,,,,,25.862098693847656,,
13,489,,,,,23.965988159179688,,
13,494,,,,,34.06739044189453,,
13,499,,,,,32.75687789916992,,
13,503,,,,,,1258.968505859375,24.748945236206055
13,503,,,1811.93505859375,30.704486846923828,,,
14,504,,,,,27.216053009033203,,
14,509,,,,,28.221845626831055,,
14,514,,,,,29.241422653198242,,
14,519,,,,,37.52277755737305,,
14,524,,,,,36.86623764038086,,
14,529,,,,,28.188810348510742,,
14,534,,,,,30.86825180053711,,
14,539,,,,,25.705490112304688,,
14,539,,,,,,1316.748046875,24.64799690246582
14,539,,,1817.53759765625,31.075563430786133,,,
15,544,,,,,28.863773345947266,,
15,549,,,,,31.009170532226562,,
15,554,,,,,27.907299041748047,,
15,559,,,,,26.094120025634766,,
15,564,,,,,27.690603256225586,,
15,569,,,,,26.20366668701172,,
15,574,,,,,30.246788024902344,,
15,575,,,,,,1271.619384765625,23.999977111816406
