epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,11,,,,,,0.3919999897480011,0.9001491069793701
0,11,,,0.47466665506362915,,889.1986083984375,,
1,23,,,,,,0.4440000057220459,0.8014066219329834
1,23,,,0.41866666078567505,,0.9009241461753845,,
2,35,,,,,,0.4959999918937683,0.8655441403388977
2,35,,,0.43066665530204773,,2.842289686203003,,
3,47,,,,,,0.47600001096725464,0.7645111083984375
3,47,,,0.4399999976158142,,0.8395742177963257,,
4,49,,,,0.453125,,,
4,59,,,,,,0.47200000286102295,0.7401740550994873
4,59,,,0.46133333444595337,,0.7755140662193298,,
5,71,,,,,,0.42800000309944153,0.7263631820678711
5,71,,,0.4519999921321869,,0.7598724961280823,,
6,83,,,,,,0.46399998664855957,0.7174025177955627
6,83,,,0.4493333399295807,,0.7509505748748779,,
7,95,,,,,,0.4880000054836273,0.7115897536277771
7,95,,,0.48133334517478943,,0.7343101501464844,,
8,99,,,,0.46875,,,
8,107,,,,,,0.492000013589859,0.7124634385108948
8,107,,,0.47733333706855774,,0.7322794795036316,,
9,119,,,,,,0.5120000243186951,0.7029957175254822
9,119,,,0.4519999921321869,,0.7298663854598999,,
10,131,,,,,,0.4959999918937683,0.6995440125465393
10,131,,,0.4893333315849304,,0.7239378094673157,,
11,143,,,,,,0.4560000002384186,0.699513852596283
11,143,,,0.4973333477973938,,0.7074762582778931,,
12,149,,,,0.515625,,,
12,155,,,,,,0.515999972820282,0.6976784467697144
12,155,,,0.5120000243186951,,0.703069269657135,,
13,167,,,,,,0.492000013589859,0.7015335559844971
13,167,,,0.48533332347869873,,0.7094789743423462,,
14,179,,,,,,0.492000013589859,0.6946414113044739
14,179,,,0.5133333206176758,,0.7004377245903015,,
15,191,,,,,,0.46000000834465027,0.6946154832839966
15,191,,,0.5053333044052124,,0.698880136013031,,
16,199,,,,0.453125,,,
16,203,,,,,,0.492000013589859,0.693424642086029
16,203,,,0.4946666657924652,,0.705580472946167,,
17,215,,,,,,0.4880000054836273,0.7092713117599487
17,215,,,0.5239999890327454,,0.7034686803817749,,
18,227,,,,,,0.515999972820282,0.6933451890945435
18,227,,,0.492000013589859,,0.7033196687698364,,
19,239,,,,,,0.492000013589859,0.6975135207176208
19,239,,,0.5053333044052124,,0.6935625076293945,,
20,249,,,,0.578125,,,
20,251,,,,,,0.5479999780654907,0.692351222038269
20,251,,,0.5040000081062317,,0.704153835773468,,
21,263,,,,,,0.492000013589859,0.6989021897315979
21,263,,,0.47999998927116394,,0.6998453736305237,,
22,275,,,,,,0.4880000054836273,0.702301025390625
22,275,,,0.5133333206176758,,0.6948061585426331,,
23,287,,,,,,0.4880000054836273,0.70741206407547
23,287,,,0.4959999918937683,,0.6970472931861877,,
24,299,,,,0.3695652186870575,,,
24,299,,,,,,0.492000013589859,0.7036274075508118
24,299,,,0.5066666603088379,,0.6972122192382812,,
25,311,,,,,,0.5320000052452087,0.6907392144203186
25,311,,,0.4973333477973938,,0.7026532292366028,,
26,323,,,,,,0.492000013589859,0.6883124709129333
26,323,,,0.5133333206176758,,0.6881915926933289,,
27,335,,,,,,0.527999997138977,0.6857930421829224
27,335,,,0.5173333287239075,,0.6882780194282532,,
28,347,,,,,,0.527999997138977,0.6808937191963196
28,347,,,0.5013333559036255,,0.6887975931167603,,
29,349,,,,0.40625,,,
29,359,,,,,,0.5239999890327454,0.6712004542350769
29,359,,,0.5133333206176758,,0.6807061433792114,,
30,360,0.5149999856948853,0.6843090057373047,,,,,
30,360,0.5149999856948853,0.6843090057373047,,,,,
