epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,11,,,,,,0.7839999794960022,1.764616847038269
0,11,,,0.5759999752044678,,1202.9139404296875,,
1,23,,,,,,0.8679999709129333,1.0885124206542969
1,23,,,0.7519999742507935,,2.870828151702881,,
2,35,,,,,,0.8999999761581421,0.5047358870506287
2,35,,,0.8560000061988831,,1.1797302961349487,,
3,47,,,,,,0.9039999842643738,0.3975885808467865
3,47,,,0.8920000195503235,,0.43530550599098206,,
4,49,,,,0.984375,,,
4,59,,,,,,0.9160000085830688,0.2628917396068573
4,59,,,0.9106666445732117,,0.39724868535995483,,
5,71,,,,,,0.9359999895095825,0.2399464100599289
5,71,,,0.9413333535194397,,0.24384470283985138,,
6,83,,,,,,0.9319999814033508,0.223486989736557
6,83,,,0.9493333101272583,,0.1652829498052597,,
7,95,,,,,,0.9319999814033508,0.20229634642601013
7,95,,,0.9693333506584167,,0.10928177833557129,,
8,99,,,,0.953125,,,
8,107,,,,,,0.9399999976158142,0.18447701632976532
8,107,,,0.9613333344459534,,0.11333160102367401,,
9,119,,,,,,0.9440000057220459,0.18894580006599426
9,119,,,0.9546666741371155,,0.12357289344072342,,
10,131,,,,,,0.8999999761581421,0.29377028346061707
10,131,,,0.9679999947547913,,0.0948333665728569,,
11,143,,,,,,0.9440000057220459,0.1871490180492401
11,143,,,0.972000002861023,,0.08057340979576111,,
12,149,,,,0.96875,,,
12,155,,,,,,0.9480000138282776,0.17561234533786774
12,155,,,0.9800000190734863,,0.05173712223768234,,
13,167,,,,,,0.9480000138282776,0.177191361784935
13,167,,,0.9826666712760925,,0.049969691783189774,,
14,179,,,,,,0.9440000057220459,0.17008575797080994
14,179,,,0.9866666793823242,,0.04674963280558586,,
15,191,,,,,,0.9440000057220459,0.17219217121601105
15,191,,,0.9866666793823242,,0.03306462615728378,,
16,199,,,,0.9375,,,
16,203,,,,,,0.9319999814033508,0.1904396116733551
16,203,,,0.984000027179718,,0.046255070716142654,,
17,215,,,,,,0.9520000219345093,0.15960970520973206
17,215,,,0.9906666874885559,,0.027968328446149826,,
18,227,,,,,,0.9520000219345093,0.19362032413482666
18,227,,,0.9906666874885559,,0.027887683361768723,,
19,239,,,,,,0.9480000138282776,0.19332222640514374
19,239,,,0.9879999756813049,,0.027552004903554916,,
20,249,,,,1.0,,,
20,251,,,,,,0.9440000057220459,0.19342383742332458
20,251,,,0.9973333477973938,,0.015307478606700897,,
21,263,,,,,,0.9520000219345093,0.18752379715442657
21,263,,,0.9933333396911621,,0.02410714142024517,,
22,275,,,,,,0.9480000138282776,0.20006601512432098
22,275,,,0.9973333477973938,,0.013949898071587086,,
23,287,,,,,,0.9399999976158142,0.21320174634456635
23,287,,,0.9973333477973938,,0.012616797350347042,,
24,299,,,,1.0,,,
24,299,,,,,,0.9359999895095825,0.23380091786384583
24,299,,,0.9986666440963745,,0.010596176609396935,,
25,311,,,,,,0.9559999704360962,0.20499299466609955
25,311,,,0.9986666440963745,,0.011592783965170383,,
26,323,,,,,,0.9559999704360962,0.1926160603761673
26,323,,,0.9959999918937683,,0.014747373759746552,,
27,335,,,,,,0.9520000219345093,0.1924888640642166
27,335,,,0.9986666440963745,,0.00916514452546835,,
28,347,,,,,,0.9599999785423279,0.18568089604377747
28,347,,,0.9973333477973938,,0.010619855485856533,,
29,349,,,,1.0,,,
29,359,,,,,,0.9520000219345093,0.18891741335391998
29,359,,,0.9986666440963745,,0.00834969524294138,,
30,360,0.9549999833106995,0.16392183303833008,,,,,
