epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,42.65386962890625,,
0,9,,,,,40.201236724853516,,
0,14,,,,,29.546281814575195,,
0,19,,,,,31.121036529541016,,
0,24,,,,,32.68055725097656,,
0,29,,,,,40.27082443237305,,
0,34,,,,,32.34836196899414,,
0,35,,,,,,3965629440.0,62973.1953125
0,35,,,3010.657958984375,39.65126037597656,,,
1,39,,,,,32.47227096557617,,
1,44,,,,,32.36266326904297,,
1,49,,,,,31.41893768310547,,
1,54,,,,,29.638763427734375,,
1,59,,,,,31.611127853393555,,
1,64,,,,,31.088375091552734,,
1,69,,,,,33.380027770996094,,
1,71,,,,,,1694036352.0,41158.61328125
1,71,,,1893.173095703125,31.93330955505371,,,
2,74,,,,,34.56211853027344,,
2,79,,,,,24.361881256103516,,
2,84,,,,,43.29359436035156,,
2,89,,,,,32.1971435546875,,
2,94,,,,,34.00897979736328,,
2,99,,,,,28.573497772216797,,
2,104,,,,,35.529029846191406,,
2,107,,,,,,1881022848.0,43370.71875
2,107,,,1822.4093017578125,30.798749923706055,,,
3,109,,,,,37.88700866699219,,
3,114,,,,,25.596120834350586,,
3,119,,,,,30.164813995361328,,
3,124,,,,,32.989437103271484,,
3,129,,,,,28.56954574584961,,
3,134,,,,,27.980850219726562,,
3,139,,,,,32.77145767211914,,
3,143,,,,,,1661902208.0,40766.3828125
3,143,,,1915.6671142578125,31.30037498474121,,,
4,144,,,,,28.340295791625977,,
4,149,,,,,28.086811065673828,,
4,154,,,,,35.29806137084961,,
4,159,,,,,32.81449890136719,,
4,164,,,,,31.16365623474121,,
4,169,,,,,34.15474319458008,,
4,174,,,,,29.668533325195312,,
4,179,,,,,26.354419708251953,,
4,179,,,,,,1108197888.0,33289.55859375
4,179,,,1849.5069580078125,31.480253219604492,,,
5,184,,,,,27.48857307434082,,
5,189,,,,,27.802547454833984,,
5,194,,,,,27.496307373046875,,
5,199,,,,,31.86404037475586,,
5,204,,,,,30.95677947998047,,
5,209,,,,,32.44917297363281,,
5,214,,,,,30.439430236816406,,
5,215,,,,,,1941719680.0,44064.8515625
5,215,,,1859.8304443359375,30.89362144470215,,,
6,219,,,,,27.838010787963867,,
6,224,,,,,29.5472354888916,,
6,229,,,,,29.717565536499023,,
6,234,,,,,30.133560180664062,,
6,239,,,,,24.785537719726562,,
6,244,,,,,33.555992126464844,,
6,249,,,,,33.49684143066406,,
6,251,,,,,,1436665856.0,37903.3125
6,251,,,1865.5413818359375,31.140535354614258,,,
7,254,,,,,32.283409118652344,,
7,259,,,,,37.69464874267578,,
7,264,,,,,33.670936584472656,,
7,269,,,,,35.74734878540039,,
7,274,,,,,30.91330909729004,,
7,279,,,,,26.917749404907227,,
7,284,,,,,21.81603240966797,,
7,287,,,,,,1267940224.0,35608.07421875
7,287,,,1794.5872802734375,30.596099853515625,,,
8,289,,,,,30.48830223083496,,
8,294,,,,,34.24308395385742,,
8,299,,,,,30.109100341796875,,
8,304,,,,,31.4915714263916,,
8,309,,,,,30.90656280517578,,
8,314,,,,,25.850852966308594,,
8,319,,,,,37.18048095703125,,
8,323,,,,,,707388288.0,26596.716796875
8,323,,,1734.0672607421875,29.97323226928711,,,
9,324,,,,,28.002628326416016,,
9,329,,,,,28.30034828186035,,
9,334,,,,,28.55600929260254,,
9,339,,,,,27.52373504638672,,
9,344,,,,,30.132823944091797,,
9,349,,,,,28.12299346923828,,
9,354,,,,,33.182044982910156,,
9,359,,,,,20.449874877929688,,
9,359,,,,,,828319488.0,28780.474609375
9,359,,,1784.7059326171875,30.490520477294922,,,
10,364,,,,,26.00787353515625,,
10,369,,,,,28.05557632446289,,
10,374,,,,,29.446155548095703,,
10,379,,,,,29.79051971435547,,
10,384,,,,,27.82021713256836,,
