epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,44.4553108215332,,
0,9,,,,,30.036916732788086,,
0,14,,,,,29.450359344482422,,
0,19,,,,,33.49256134033203,,
0,24,,,,,27.755611419677734,,
0,29,,,,,34.0865364074707,,
0,34,,,,,30.592864990234375,,
0,35,,,,,,2720937728.0,52162.56640625
0,35,,,2983.996826171875,39.83864212036133,,,
1,39,,,,,30.307151794433594,,
1,44,,,,,35.22149658203125,,
1,49,,,,,28.422653198242188,,
1,54,,,,,33.418277740478516,,
1,59,,,,,27.113656997680664,,
1,64,,,,,29.254955291748047,,
1,69,,,,,33.27712631225586,,
1,71,,,,,,3539410176.0,59492.90234375
1,71,,,1952.7860107421875,32.09506607055664,,,
2,74,,,,,37.254886627197266,,
2,79,,,,,34.711185455322266,,
2,84,,,,,26.83350944519043,,
2,89,,,,,33.56797790527344,,
2,94,,,,,27.956745147705078,,
2,99,,,,,33.572940826416016,,
2,104,,,,,24.834030151367188,,
2,107,,,,,,1916580736.0,43778.69140625
2,107,,,1828.8309326171875,31.127002716064453,,,
3,109,,,,,32.631168365478516,,
3,114,,,,,31.406291961669922,,
3,119,,,,,25.49612808227539,,
3,124,,,,,32.39900207519531,,
3,129,,,,,31.608217239379883,,
3,134,,,,,36.830928802490234,,
3,139,,,,,29.30904769897461,,
3,143,,,,,,2328935680.0,48259.00390625
3,143,,,1871.9658203125,31.433156967163086,,,
4,144,,,,,28.64392852783203,,
4,149,,,,,29.699947357177734,,
4,154,,,,,26.098983764648438,,
4,159,,,,,36.0526008605957,,
4,164,,,,,37.5007438659668,,
4,169,,,,,31.89582633972168,,
4,174,,,,,32.40242004394531,,
4,179,,,,,37.25079345703125,,
4,179,,,,,,2448951296.0,49486.81640625
4,179,,,1841.4210205078125,31.382909774780273,,,
5,184,,,,,28.807018280029297,,
5,189,,,,,28.87044906616211,,
5,194,,,,,35.1178092956543,,
5,199,,,,,32.0911865234375,,
5,204,,,,,30.50663948059082,,
5,209,,,,,28.93102264404297,,
5,214,,,,,23.934253692626953,,
5,215,,,,,,1256139136.0,35442.00390625
5,215,,,1792.9114990234375,30.838111877441406,,,
6,219,,,,,33.84733200073242,,
6,224,,,,,30.067218780517578,,
6,229,,,,,31.5135440826416,,
6,234,,,,,30.838062286376953,,
6,239,,,,,29.803020477294922,,
6,244,,,,,31.88311767578125,,
6,249,,,,,27.465774536132812,,
6,251,,,,,,2281731584.0,47767.40234375
6,251,,,1845.19873046875,30.90422248840332,,,
7,254,,,,,33.6765022277832,,
7,259,,,,,30.030092239379883,,
7,264,,,,,29.7177734375,,
7,269,,,,,31.024696350097656,,
7,274,,,,,28.585962295532227,,
7,279,,,,,28.94455909729004,,
7,284,,,,,31.40255355834961,,
7,287,,,,,,1104640384.0,33236.04296875
7,287,,,1758.695068359375,30.665128707885742,,,
8,289,,,,,24.888835906982422,,
8,294,,,,,31.24969482421875,,
8,299,,,,,29.2277889251709,,
8,304,,,,,35.266082763671875,,
8,309,,,,,35.43474197387695,,
8,314,,,,,25.971538543701172,,
8,319,,,,,30.210956573486328,,
8,323,,,,,,1443583488.0,37994.4296875
8,323,,,1802.7542724609375,30.569103240966797,,,
9,324,,,,,28.967260360717773,,
9,329,,,,,33.088993072509766,,
9,334,,,,,32.54649353027344,,
9,339,,,,,27.25281524658203,,
9,344,,,,,32.44390869140625,,
9,349,,,,,27.32594108581543,,
9,354,,,,,24.1275577545166,,
9,359,,,,,22.29796600341797,,
9,359,,,,,,1052380352.0,32440.337890625
9,359,,,1821.9691162109375,30.28977394104004,,,
10,364,,,,,29.46241569519043,,
10,369,,,,,34.891998291015625,,
10,374,,,,,25.03985595703125,,
10,379,,,,,24.951080322265625,,
10,384,,,,,29.278011322021484,,
10,389,,,,,35.859432220458984,,
10,394,,,,,29.107799530029297,,
10,395,,,,,,1368606848.0,36994.5703125
10,395,,,1751.8948974609375,30.521608352661133,,,
11,399,,,,,29.543859481811523,,
11,404,,,,,29.5443172454834,,
11,409,,,,,31.211042404174805,,
11,414,,,,,29.236053466796875,,
11,419,,,,,28.181734085083008,,
11,424,,,,,25.582582473754883,,
11,429,,,,,32.926876068115234,,
11,431,,,,,,1387947136.0,37255.0546875
11,431,,,1804.0653076171875,30.446638107299805,,,
12,434,,,,,28.181093215942383,,
12,439,,,,,26.16177749633789,,
12,444,,,,,34.532432556152344,,
12,449,,,,,31.86029815673828,,
12,454,,,,,30.57965087890625,,
12,459,,,,,33.51029968261719,,
12,464,,,,,28.728757858276367,,
12,467,,,,,,1367286784.0,36976.78515625
12,467,,,1784.333251953125,30.80071449279785,,,
13,469,,,,,23.522863388061523,,
13,474,,,,,31.329042434692383,,
13,479,,,,,30.130992889404297,,
13,484,,,,,30.295007705688477,,
13,489,,,,,28.90481185913086,,
13,494,,,,,31.0175724029541,,
13,499,,,,,30.754932403564453,,
13,503,,,,,,1072585600.0,32750.271484375
13,503,,,1787.385009765625,30.1940860748291,,,
14,504,,,,,36.88446807861328,,
14,509,,,,,33.90522384643555,,
14,514,,,,,25.374208450317383,,
14,519,,,,,24.926334381103516,,
14,524,,,,,31.055713653564453,,
14,529,,,,,25.819303512573242,,
14,534,,,,,27.758522033691406,,
14,539,,,,,15.711642265319824,,
14,539,,,,,,759993216.0,27567.904296875
14,539,,,1766.517333984375,30.38932991027832,,,
15,544,,,,,27.7708740234375,,
15,549,,,,,32.72733688354492,,
15,554,,,,,34.520294189453125,,
15,559,,,,,31.796918869018555,,
15,564,,,,,33.118648529052734,,
15,569,,,,,32.06299591064453,,
15,574,,,,,28.430400848388672,,
15,575,,,,,,797677952.0,28243.099609375
15,575,,,1791.883544921875,30.61170768737793,,,
16,579,,,,,26.869653701782227,,
16,584,,,,,25.588756561279297,,
16,589,,,,,35.59645462036133,,
16,594,,,,,33.33513641357422,,
16,599,,,,,32.15825653076172,,
16,604,,,,,30.337873458862305,,
16,609,,,,,31.602384567260742,,
16,611,,,,,,519759552.0,22798.1953125
16,611,,,1801.16650390625,30.577829360961914,,,
17,614,,,,,28.38680648803711,,
17,619,,,,,26.372875213623047,,
17,624,,,,,29.547657012939453,,
17,629,,,,,28.815658569335938,,
17,634,,,,,30.052385330200195,,
17,639,,,,,35.31909942626953,,
17,644,,,,,32.93532943725586,,
17,647,,,,,,580208128.0,24087.455078125
17,647,,,1845.998779296875,30.443695068359375,,,
18,649,,,,,29.110544204711914,,
18,654,,,,,36.966365814208984,,
18,659,,,,,29.870237350463867,,
18,664,,,,,35.14174270629883,,
18,669,,,,,29.864543914794922,,
18,674,,,,,31.941272735595703,,
18,679,,,,,25.703384399414062,,
18,683,,,,,,938410304.0,30633.416015625
18,683,,,1764.0509033203125,30.122650146484375,,,
19,684,,,,,32.299713134765625,,
19,689,,,,,32.55537796020508,,
19,694,,,,,29.772014617919922,,
19,699,,,,,32.26968002319336,,
19,704,,,,,29.645339965820312,,
19,709,,,,,33.61791229248047,,
19,714,,,,,28.509899139404297,,
19,719,,,,,35.022064208984375,,
19,719,,,,,,742379136.0,27246.578125
19,719,,,1754.775146484375,30.106735229492188,,,
20,724,,,,,31.218172073364258,,
20,729,,,,,26.458187103271484,,
20,734,,,,,30.415082931518555,,
20,739,,,,,30.18310546875,,
20,744,,,,,32.659149169921875,,
20,749,,,,,25.790395736694336,,
20,754,,,,,26.83913803100586,,
20,755,,,,,,428068928.0,20689.767578125
20,755,,,1723.0511474609375,29.808034896850586,,,
21,759,,,,,31.858802795410156,,
21,764,,,,,29.90216827392578,,
21,769,,,,,31.657079696655273,,
21,774,,,,,24.57412338256836,,
21,779,,,,,32.10930633544922,,
21,784,,,,,29.447975158691406,,
21,789,,,,,31.463430404663086,,
21,791,,,,,,703429056.0,26522.169921875
21,791,,,1743.165283203125,29.93575668334961,,,
22,794,,,,,29.978906631469727,,
22,799,,,,,37.255794525146484,,
22,804,,,,,30.829242706298828,,
22,809,,,,,30.470748901367188,,
22,814,,,,,36.5306396484375,,
22,819,,,,,25.049787521362305,,
22,824,,,,,31.471813201904297,,
22,827,,,,,,738849280.0,27181.6953125
22,827,,,1781.2239990234375,30.44519805908203,,,
23,829,,,,,24.648950576782227,,
23,834,,,,,33.308250427246094,,
23,839,,,,,35.81134796142578,,
23,844,,,,,36.887054443359375,,
23,849,,,,,30.681032180786133,,
23,854,,,,,32.83171844482422,,
23,859,,,,,30.51528549194336,,
23,863,,,,,,450111552.0,21215.783203125
23,863,,,1861.691162109375,30.957233428955078,,,
24,864,,,,,30.677780151367188,,
24,869,,,,,28.438631057739258,,
24,874,,,,,32.946712493896484,,
24,879,,,,,31.305784225463867,,
24,884,,,,,36.0103759765625,,
24,889,,,,,34.49335861206055,,
24,894,,,,,23.750041961669922,,
24,899,,,,,27.865264892578125,,
24,899,,,,,,524328992.0,22898.177734375
24,899,,,1747.960205078125,30.01579475402832,,,
25,904,,,,,28.816242218017578,,
25,909,,,,,29.133914947509766,,
25,914,,,,,27.91907501220703,,
25,919,,,,,25.87851905822754,,
25,924,,,,,29.217248916625977,,
25,929,,,,,29.72944450378418,,
25,934,,,,,31.655961990356445,,
25,935,,,,,,462727424.0,21511.04296875
25,935,,,1735.8699951171875,29.490861892700195,,,
26,939,,,,,29.46556854248047,,
26,944,,,,,30.937328338623047,,
26,949,,,,,29.103759765625,,
26,954,,,,,29.428972244262695,,
26,959,,,,,28.485382080078125,,
26,964,,,,,31.43065071105957,,
26,969,,,,,26.5384464263916,,
26,971,,,,,,568513856.0,23843.41015625
26,971,,,1748.83349609375,29.929149627685547,,,
27,974,,,,,23.580726623535156,,
27,979,,,,,30.33686065673828,,
27,984,,,,,30.715303421020508,,
27,989,,,,,30.64314079284668,,
27,994,,,,,24.025035858154297,,
27,999,,,,,28.07767105102539,,
27,1004,,,,,29.739351272583008,,
27,1007,,,,,,581383104.0,24111.84765625
27,1007,,,1704.800537109375,29.498497009277344,,,
28,1009,,,,,29.364336013793945,,
28,1014,,,,,22.038759231567383,,
28,1019,,,,,29.08687973022461,,
28,1024,,,,,28.068283081054688,,
28,1029,,,,,36.18914794921875,,
28,1034,,,,,33.44997787475586,,
28,1039,,,,,29.737049102783203,,
28,1043,,,,,,365377408.0,19114.740234375
28,1043,,,1737.490966796875,29.982149124145508,,,
29,1044,,,,,27.61953353881836,,
29,1049,,,,,27.06789779663086,,
29,1054,,,,,31.540828704833984,,
29,1059,,,,,32.60340118408203,,
29,1064,,,,,32.83571243286133,,
29,1069,,,,,33.43587112426758,,
29,1074,,,,,36.74024963378906,,
29,1079,,,,,15.565022468566895,,
29,1079,,,,,,436250208.0,20886.47265625
29,1079,,,1806.9788818359375,30.6271915435791,,,
30,1084,,,,,26.54896354675293,,
30,1089,,,,,31.15593910217285,,
30,1094,,,,,31.0914363861084,,
30,1099,,,,,21.86393928527832,,
30,1104,,,,,29.26084327697754,,
30,1109,,,,,28.235933303833008,,
30,1114,,,,,34.736690521240234,,
30,1115,,,,,,270145472.0,16435.9609375
30,1115,,,1760.0252685546875,29.62155532836914,,,
31,1119,,,,,39.97249221801758,,
31,1124,,,,,32.441226959228516,,
31,1129,,,,,33.65228271484375,,
31,1134,,,,,25.062095642089844,,
31,1139,,,,,33.39586639404297,,
31,1144,,,,,28.031543731689453,,
31,1149,,,,,35.01014709472656,,
31,1151,,,,,,183397120.0,13542.2744140625
31,1151,,,1684.28125,29.4370059967041,,,
32,1154,,,,,29.973575592041016,,
32,1159,,,,,27.922401428222656,,
32,1164,,,,,30.118331909179688,,
32,1169,,,,,25.537302017211914,,
32,1174,,,,,30.722736358642578,,
32,1179,,,,,24.42913055419922,,
32,1184,,,,,32.29095458984375,,
32,1187,,,,,,429298144.0,20719.380859375
32,1187,,,1751.920166015625,30.310808181762695,,,
33,1189,,,,,30.130802154541016,,
33,1194,,,,,28.673295974731445,,
33,1199,,,,,28.55729866027832,,
33,1204,,,,,31.157371520996094,,
33,1209,,,,,34.24475860595703,,
33,1214,,,,,31.13064956665039,,
33,1219,,,,,28.77857208251953,,
33,1223,,,,,,364080064.0,19080.7578125
33,1223,,,1742.595703125,29.997499465942383,,,
34,1224,,,,,23.56549835205078,,
34,1229,,,,,31.662221908569336,,
34,1234,,,,,29.714805603027344,,
34,1239,,,,,36.09212112426758,,
34,1244,,,,,30.17819595336914,,
34,1249,,,,,34.05941390991211,,
34,1254,,,,,26.37298011779785,,
34,1259,,,,,25.875085830688477,,
34,1259,,,,,,457373632.0,21386.14453125
34,1259,,,1676.501220703125,29.228351593017578,,,
35,1264,,,,,33.04006576538086,,
35,1269,,,,,26.600608825683594,,
35,1274,,,,,30.187686920166016,,
35,1279,,,,,26.79475975036621,,
35,1284,,,,,23.783435821533203,,
35,1289,,,,,25.095399856567383,,
35,1294,,,,,32.334617614746094,,
35,1295,,,,,,344009376.0,18547.326171875
35,1295,,,1717.2391357421875,29.71500015258789,,,
36,1299,,,,,31.241119384765625,,
36,1304,,,,,27.392017364501953,,
36,1309,,,,,29.223230361938477,,
36,1314,,,,,34.8008918762207,,
36,1319,,,,,34.768096923828125,,
36,1324,,,,,35.51240158081055,,
36,1329,,,,,24.764751434326172,,
36,1331,,,,,,392841664.0,19820.068359375
36,1331,,,1771.2750244140625,30.116107940673828,,,
37,1334,,,,,34.80598831176758,,
37,1339,,,,,28.74683952331543,,
37,1344,,,,,32.25954818725586,,
